date,open,close,high,low,volume
2016/12/28,17.176,16.989,17.176,16.862,14426
2016/12/29,16.783,16.962,17.089,16.783,9952
2016/12/30,16.962,17.082,17.129,16.876,13976
2017/1/3,17.396,17.396,17.529,17.169,17278
2017/1/4,17.389,17.642,17.742,17.329,25821
2017/1/5,17.849,17.489,17.856,17.402,15946
2017/1/6,17.489,16.962,17.529,16.936,16663
2017/1/9,16.769,16.723,16.962,16.643,15141
2017/1/10,16.723,16.523,16.789,16.449,21516
2017/1/11,16.496,16.563,16.876,16.396,23479
2017/1/12,16.463,16.403,16.663,16.396,12201
